30 X 30 | 33 15.000000
30 X 30 | 34 5.000000
30 X 30 | 35 10.000000
30 X 30 | 36 5.000000
30 X 30 | 37 5.000000
30 X 30 | 38 0.000000
30 X 30 | 39 10.000000
30 X 30 | 40 10.000000
30 X 30 | 41 0.000000
30 X 30 | 42 0.000000
30 X 30 | 43 0.000000
30 X 30 | 44 0.000000
30 X 30 | 45 0.000000
30 X 30 | 46 0.000000
30 X 30 | 47 0.000000
30 X 30 | 48 0.000000
30 X 30 | 49 0.000000
30 X 30 | 50 0.000000
30 X 30 | 51 0.000000
30 X 30 | 52 0.000000
30 X 30 | 53 0.000000
30 X 30 | 54 0.000000
30 X 30 | 55 0.000000
30 X 30 | 56 0.000000
30 X 30 | 57 0.000000
30 X 30 | 58 0.000000
30 X 30 | 59 0.000000
30 X 30 | 60 0.000000
30 X 30 | 61 0.000000
30 X 30 | 62 0.000000
30 X 30 | 63 0.000000
30 X 30 | 64 0.000000
30 X 30 | 65 0.000000
30 X 30 | 66 0.000000
30 X 30 | 67 0.000000
30 X 30 | 68 0.000000
30 X 30 | 69 0.000000
30 X 30 | 70 0.000000
30 X 30 | 71 0.000000
30 X 30 | 72 0.000000
30 X 30 | 73 0.000000
30 X 30 | 74 0.000000
30 X 30 | 75 0.000000
30 X 30 | 76 0.000000
30 X 30 | 77 0.000000
30 X 30 | 78 0.000000
30 X 30 | 79 0.000000
30 X 30 | 80 0.000000
30 X 30 | 81 0.000000
30 X 30 | 82 0.000000
30 X 30 | 83 0.000000
30 X 30 | 84 0.000000
30 X 30 | 85 0.000000
30 X 30 | 86 0.000000
30 X 30 | 87 0.000000
30 X 30 | 88 0.000000
30 X 30 | 89 0.000000
30 X 30 | 90 0.000000
30 X 30 | 91 0.000000
30 X 30 | 92 0.000000
30 X 30 | 93 0.000000
30 X 30 | 94 0.000000
30 X 30 | 95 0.000000
30 X 30 | 96 0.000000
30 X 30 | 97 0.000000
30 X 30 | 98 0.000000
30 X 30 | 99 0.000000
30 X 30 | 100 0.000000
